lenguaje,archivo,n_servicios,n_redes,promedio_ms,min_ms,max_ms
c,docker-compose-01.yml,2,2,0.9701,0.8486,1.1717
c,docker-compose-02.yml,4,2,0.9616,0.7882,1.2203
c,docker-compose-03.yml,6,3,0.9262,0.7815,1.1935
c,docker-compose-04.yml,8,4,0.763,0.6387,0.9952
c,docker-compose-05.yml,10,5,0.9106,0.8205,1.1545
c,docker-compose-06.yml,12,6,1.0058,0.8325,1.2642
c,docker-compose-07.yml,14,7,0.9487,0.8277,1.2084
c,docker-compose-08.yml,16,8,1.1126,0.9291,1.3998
c,docker-compose-09.yml,18,9,0.9088,0.7255,1.2821
c,docker-compose-10.yml,20,10,1.0583,0.9577,1.3088
java,docker-compose-01.yml,2,2,354.2112,346.8818,361.2884
java,docker-compose-02.yml,4,2,369.2945,348.5122,394.7247
java,docker-compose-03.yml,6,3,348.4601,341.1417,355.8629
java,docker-compose-04.yml,8,4,349.9117,342.4672,359.8053
java,docker-compose-05.yml,10,5,344.8162,335.8563,352.249
java,docker-compose-06.yml,12,6,350.2123,342.9868,356.2515
java,docker-compose-07.yml,14,7,355.7393,343.353,373.8385
java,docker-compose-08.yml,16,8,360.1419,342.8444,409.722
java,docker-compose-09.yml,18,9,351.2973,343.1805,363.3133
java,docker-compose-10.yml,20,10,374.9437,360.7203,382.3077
python,docker-compose-01.yml,2,2,13.3959,13.0141,13.9346
python,docker-compose-02.yml,4,2,14.0825,13.6622,14.5687
python,docker-compose-03.yml,6,3,13.6075,12.8727,14.2906
python,docker-compose-04.yml,8,4,13.4515,13.1901,13.8666
python,docker-compose-05.yml,10,5,13.8165,13.5652,14.0205
python,docker-compose-06.yml,12,6,13.9397,13.5305,14.6468
python,docker-compose-07.yml,14,7,13.7069,13.2902,14.1318
python,docker-compose-08.yml,16,8,14.3386,13.91,15.0326
python,docker-compose-09.yml,18,9,13.795,13.193,14.1917
python,docker-compose-10.yml,20,10,13.5528,13.2852,14.0264
