lenguaje,archivo,rep,tiempo_ms
python,docker-compose-01.yml,0,13.934583999969163
python,docker-compose-01.yml,1,13.447291999966637
python,docker-compose-01.yml,2,13.11566699996547
python,docker-compose-01.yml,3,13.014124999983778
python,docker-compose-01.yml,4,13.46762499997567
java,docker-compose-01.yml,0,349.66095799995855
java,docker-compose-01.yml,1,346.88179200003333
java,docker-compose-01.yml,2,352.4133329999586
java,docker-compose-01.yml,3,360.8117499999821
java,docker-compose-01.yml,4,361.2883750000151
c,docker-compose-01.yml,0,1.171666000004734
c,docker-compose-01.yml,1,0.8819160000257398
c,docker-compose-01.yml,2,0.8755830000382048
c,docker-compose-01.yml,3,1.072916999987683
c,docker-compose-01.yml,4,0.8485829999926864
python,docker-compose-02.yml,0,14.5687090000024
python,docker-compose-02.yml,1,13.960832999998729
python,docker-compose-02.yml,2,14.035874999990483
python,docker-compose-02.yml,3,13.662249999981668
python,docker-compose-02.yml,4,14.184957999987091
java,docker-compose-02.yml,0,377.9217090000202
java,docker-compose-02.yml,1,365.48341699995035
java,docker-compose-02.yml,2,394.72470800001247
java,docker-compose-02.yml,3,348.5121669999671
java,docker-compose-02.yml,4,359.830541000008
c,docker-compose-02.yml,0,1.2202500000171312
c,docker-compose-02.yml,1,1.0026250000123582
c,docker-compose-02.yml,2,0.9617910000088159
c,docker-compose-02.yml,3,0.8350840000161952
c,docker-compose-02.yml,4,0.788166999996065
python,docker-compose-03.yml,0,13.80995800002438
python,docker-compose-03.yml,1,13.400457999978244
python,docker-compose-03.yml,2,12.872667000010551
python,docker-compose-03.yml,3,14.290625000001
python,docker-compose-03.yml,4,13.663875000020198
java,docker-compose-03.yml,0,344.0157919999933
java,docker-compose-03.yml,1,355.8628750000139
java,docker-compose-03.yml,2,353.46379200001365
java,docker-compose-03.yml,3,347.8163340000151
java,docker-compose-03.yml,4,341.14166699998805
c,docker-compose-03.yml,0,1.1934589999782474
c,docker-compose-03.yml,1,0.8298329999547605
c,docker-compose-03.yml,2,0.8159170000112681
c,docker-compose-03.yml,3,0.7814580000058413
c,docker-compose-03.yml,4,1.0102079999683156
python,docker-compose-04.yml,0,13.866624999991473
python,docker-compose-04.yml,1,13.628084000004037
python,docker-compose-04.yml,2,13.32129200000054
python,docker-compose-04.yml,3,13.190083000040431
python,docker-compose-04.yml,4,13.251207999985581
java,docker-compose-04.yml,0,348.13070899997456
java,docker-compose-04.yml,1,342.46724999997014
java,docker-compose-04.yml,2,359.80533299999706
java,docker-compose-04.yml,3,349.0107090000265
java,docker-compose-04.yml,4,350.14462499998444
c,docker-compose-04.yml,0,0.995166999985031
c,docker-compose-04.yml,1,0.7218330000000606
c,docker-compose-04.yml,2,0.7729590000167263
c,docker-compose-04.yml,3,0.6862089999799537
c,docker-compose-04.yml,4,0.6386670000324557
python,docker-compose-05.yml,0,13.958958999978677
python,docker-compose-05.yml,1,13.79758299998457
python,docker-compose-05.yml,2,14.02050000001509
python,docker-compose-05.yml,3,13.740290999976423
python,docker-compose-05.yml,4,13.565207999988615
java,docker-compose-05.yml,0,339.78437600001143
java,docker-compose-05.yml,1,335.8562500000062
java,docker-compose-05.yml,2,352.2489580000183
java,docker-compose-05.yml,3,351.2652090000188
java,docker-compose-05.yml,4,344.92629199996827
c,docker-compose-05.yml,0,1.154541000005338
c,docker-compose-05.yml,1,0.8205000000316431
c,docker-compose-05.yml,2,0.8743750000235195
c,docker-compose-05.yml,3,0.8278749999703905
c,docker-compose-05.yml,4,0.8759159999840449
python,docker-compose-06.yml,0,14.197665999972742
python,docker-compose-06.yml,1,14.646792000007736
python,docker-compose-06.yml,2,13.671708000003946
python,docker-compose-06.yml,3,13.651958000025388
python,docker-compose-06.yml,4,13.530457999991086
java,docker-compose-06.yml,0,356.25149999998484
java,docker-compose-06.yml,1,342.98675000002277
java,docker-compose-06.yml,2,354.45954200002916
java,docker-compose-06.yml,3,347.34187500004055
java,docker-compose-06.yml,4,350.02187500003856
c,docker-compose-06.yml,0,1.2641669999879923
c,docker-compose-06.yml,1,0.9897919999843907
c,docker-compose-06.yml,2,0.9992910000278243
c,docker-compose-06.yml,3,0.9432919999881051
